
===== 39 phone classes  (K=39) =====
   tau    acc   eps  ms  clus   noise     NMI     ARI    hom   comp
  0.15  0.000  0.15   5    39  0.0000  1.0000  1.0000  1.000  1.000
  0.20  0.000  0.25   5    39  0.0000  1.0000  1.0000  1.000  1.000
  0.25  0.002  0.35   5    39  0.0000  1.0000  1.0000  1.000  1.000
  0.30  0.006  0.35  10    44  0.0008  0.9854  0.9506  0.990  0.981
  0.40  0.028  0.45   5    34  0.0000  0.9732  0.8622  0.948  1.000
  0.50  0.075  0.40   5    52  0.0066  0.9513  0.8252  0.937  0.966
  0.60  0.134  0.45   5    50  0.0088  0.9244  0.7408  0.888  0.964
  0.75  0.232  0.50   5    54  0.0255  0.7799  0.3254  0.681  0.913
  1.00  0.370  0.55   5   249  0.1318  0.6435  0.1669  0.616  0.673
  1.25  0.227  0.65   5   368  0.2575  0.5510  0.0896  0.531  0.572
  1.50  0.309  0.75   5   343  0.2379  0.4585  0.0480  0.411  0.518

===== 4 classes: aa, n, sh, sil  (K=4) =====
   tau    acc   eps  ms  clus   noise     NMI     ARI    hom   comp
  0.25  0.002  0.30   5     4  0.0000  1.0000  1.0000  1.000  1.000
  0.50  0.084  0.50   5     4  0.0000  1.0000  1.0000  1.000  1.000
  0.75  0.223  0.60   5     4  0.0000  1.0000  1.0000  1.000  1.000
  1.00  0.362  0.80   5     4  0.0000  1.0000  1.0000  1.000  1.000
  1.25  0.222  1.00   5     4  0.0000  1.0000  1.0000  1.000  1.000
  1.50  0.306  1.10   5     4  0.0000  1.0000  1.0000  1.000  1.000
  1.75  0.387  1.30   5     4  0.0000  1.0000  1.0000  1.000  1.000
  2.00  0.442  1.20   5     6  0.0250  0.9421  0.9455  0.995  0.894
  2.50  0.536  1.40  10     8  0.1680  0.8055  0.7743  0.928  0.712

saved -> /private/tmp/claude-501/-Users-dedeepyaavancha-Library-CloudStorage-OneDrive-iiit-b-sem6-asr-pe/32343c6b-bfe0-45eb-8613-6d8abc95b4f3/scratchpad/e2_results.json
